minted_identifier	source	source_id	source_label	decision	identifier	curator	date	rationale
antibioticmech:aro-461f91937a	ARO	ARO:3004024	trimethoprim-sulfamethoxazole	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. a fixed-dose combination of two distinct drugs; its own definition calls it an antibiotic cocktail. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-84537027ef	ARO	ARO:3003997	amoxicillin-clavulanic acid	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a penicillin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-2d1eb1b749	ARO	ARO:3004023	ticarcillin-clavulanic acid	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a penicillin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-76e62349b9	ARO	ARO:3004021	piperacillin-tazobactam	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a penicillin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-85960541f2	ARO	ARO:3007364	cefepime-tazobactam	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a cephalosporin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-d629109bc3	ARO	ARO:3007072	ceftazidime-avibactam	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a cephalosporin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-5bcfcd87f2	ARO	ARO:3004705	ceftazidime-clavulanic acid	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a cephalosporin plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-2d9d7fefd6	ARO	ARO:3007146	meropenem-vaborbactam	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: a carbapenem plus a beta-lactamase inhibitor. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-92b56f1266	ARO	ARO:3004022	quinupristin-dalfopristin	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. combination product: two streptogramins co-formulated. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:chebi-d63ee8b910	CHEBI	CHEBI:145924	Kaletra	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. a brand-name combination product of lopinavir and ritonavir, not one structure. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-3a5151096c	ARO	ARO:3003993	capreomycin	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. a mixture of the capreomycin IA/IB congeners, not one structure. Its source concept and provenance stay in data/raw/ and on `just worklist`.
antibioticmech:aro-9d6b967af6	ARO	ARO:3001326	ganefromycin	EXCLUDE		claude	2026-08-31	A record IS one chemical structure (CLAUDE.md); docs/HARMONIZATION.md excludes mixtures and combination products. a mixture of the alpha and beta congeners, not one structure. Its source concept and provenance stay in data/raw/ and on `just worklist`.
